t,v
86.2,-0.8962723531430682
86.30000000000001,-0.888828402789368
86.40000000000001,-0.8803416170511275
86.5,-0.8707416189406646
86.60000000000001,-0.85994998160275
86.7,-0.8478800539392188
86.80000000000001,-0.8344368205500401
86.90000000000001,-0.8195168136749487
87,-0.8030080977345048
87.10000000000001,-0.7847903501951151
87.2,-0.7647350657338026
87.30000000000001,-0.7427059139269178
87.40000000000001,-0.7185592837511015
87.5,-0.6921450508195985
87.60000000000001,-0.6633076051676295
87.7,-0.6318871781546035
87.80000000000001,-0.5977215062013149
87.90000000000001,-0.5606478660924772
88,-0.5205055108677356
88.10000000000001,-0.4771385263077041
88.2,-0.4303991151491587
88.30000000000001,-0.380151299011054
88.40000000000001,-0.3262750063737335
88.5,-0.2686704889500286
88.60000000000001,-0.2072629789944991
88.7,-0.1420074676518868
88.80000000000001,-0.07289345113144403
88.90000000000001,5.054023632620399e-05
89,0.07675284208804305
89.10000000000001,0.1570952162252181
89.2,0.2409103090410249
89.30000000000001,0.3279802383183957
89.40000000000001,0.418036512879893
89.5,0.5107614450129496
89.60000000000001,0.6057911527474708
89.7,0.702720170670647
89.80000000000001,0.8011075989482654
89.90000000000001,0.9004846274021395
90,1.000363182950087
90.10000000000001,1.100245372858404
90.2,1.199633340747309
90.30000000000001,1.298039122959588
90.40000000000001,1.394994092905716
90.5,1.490057610337107
90.60000000000001,1.582824548015557
90.7,1.672931444110813
90.80000000000001,1.76006111720974
90.90000000000001,1.843945673647536
91,1.924367925896075
91.10000000000001,2.00116131914541
91.2,2.074208526070302
91.30000000000001,2.143438914341355
91.40000000000001,2.208825117112268
91.5,2.270378944704518
91.60000000000001,2.328146868567778
91.7,2.382205289671415
91.80000000000001,2.432655776413662
91.90000000000001,2.479620425420723
92,2.523237465311804
92.10000000000001,2.563657191080041
92.2,2.601038286967898
92.30000000000001,2.635544569735204
92.40000000000001,2.667342162603429
92.5,2.696597093034999
92.60000000000001,2.723473294663823
92.7,2.748130984708966
92.80000000000001,2.770725382531824
92.90000000000001,2.791405732047519
93,2.810314589893515
93.10000000000001,2.827587342057575
93.2,2.843351913606604
93.30000000000001,2.857728638845387
93.40000000000001,2.87083026235475
93.5,2.882762044667725
93.60000000000001,2.89362194965799
93.7,2.90350089390909
93.80000000000001,2.912483041319909
93.90000000000001,2.920646128930911
94,2.928061812401401
94.10000000000001,2.934796021724333
94.2,2.940909319639475
94.30000000000001,2.946457256813797
94.40000000000001,2.951490719221481
94.5,2.95605626429901
94.60000000000001,2.960196443398358
94.7,2.963950108838219
94.80000000000001,2.967352704482599
94.90000000000001,2.970436539279576
95,2.973231043590117
95.10000000000001,2.975763008444721
95.2,2.978056808099609
95.30000000000001,2.980134606437198
95.40000000000001,2.98201654787915
95.5,2.983720933563717
95.60000000000001,2.985264383590582
95.7,2.986661986162771
95.80000000000001,2.987927434461739
95.90000000000001,2.989073152083445
96,2.990110407843515
96.10000000000001,2.991049420731716
96.2,2.991899455762348
96.30000000000001,2.992668911429631
96.40000000000001,2.993365399437517
96.5,2.993995817332491
96.60000000000001,2.994566414627098
96.7,2.995082852961487
96.80000000000001,2.995550260811132
96.90000000000001,2.99597328321101
97,2.996356126930496
97.10000000000001,2.996702601499096
97.2,2.997016156450885
97.30000000000001,2.997299915125371
97.40000000000001,2.997556705334363
97.5,2.997789087178182
97.60000000000001,2.997999378270276
97.7,2.998189676606858
97.80000000000001,2.998361881297479
97.90000000000001,2.998517711353344
98,2.998658722712705
98.10000000000001,2.998786323666546
98.2,2.998901788833147
98.30000000000001,2.999006271816508
98.40000000000001,2.999100816671451
98.5,2.999186368286904
98.60000000000001,2.999263781788638
98.7,2.999333831053411
98.80000000000001,2.999397216417968
98.90000000000001,2.999454571658556
99,2.999506470309707
99.10000000000001,2.999553431384453
99.2,2.999595924552503
99.30000000000001,2.999634374827513
99.40000000000001,2.999669166809853
99.5,2.999700648526865
99.60000000000001,2.999729134908724
99.7,2.999754910934366
99.80000000000001,2.999778234478747
99.90000000000001,2.999799338889725
100,2.999818435320188
100.1,2.999835714838647
100.2,2.999851350339321
100.3,2.999865498270698
100.4,2.999878300199858
100.5,2.999889884228103
100.6,2.999900366272057
100.7,2.999909851222975
100.8,2.999918433995878
100.9,2.999926200478937
101,2.999933228392639
101.1,2.999939588067262
101.2,2.999945343146478
101.3,2.999950551224062
101.4,2.999955264420125
101.5,2.999959529902568
101.6,2.999963390359042
101.7,2.999966884424047
101.8,2.999970047065526
101.9,2.999972909934756
102,2.999975501683064
102.1,2.99997784824853
102.2,2.999979973115547
102.3,2.999981897549822
102.4,2.999983640811185
102.5,2.999985220346336
102.6,2.999986651963418
102.7,2.999987949990233
102.8,2.99998912741762
102.9,2.999990196029468
103,2.999991166520636
103.1,2.999992048603989
103.2,2.999992851107601
103.3,2.999993582063107
103.4,2.999994248786081
103.5,2.99999485794925
103.6,2.999995415649271
103.7,2.999995927467756
103.8,2.999996398527118
103.9,2.999996833541853
104,2.99999723686571
104.1,2.999997612535273
104.2,2.999997964310352
104.3,2.999998295711618
104.4,2.999998610055834
104.5,2.999998910489055
104.6,2.99999920001811
104.7,2.999999481540697
104.8,2.999999757874382
104.9,3.000000031784799
105,3.000000306013331
105.1,3.000000583304545
105.2,3.000000866433658
105.3,3.000001158234317
105.4,3.000001461626957
105.5,3.000001779648021
105.6,3.000002115480369
105.7,3.00000247248511
105.8,3.000002854235262
105.9,3.000003264551489
106,3.000003707540362
106.1,3.000004187635444
106.2,3.000004709641661
106.3,3.000005278783402
106.4,3.000005900756793
106.5,3.000006581786709
106.6,3.000007328689076
106.7,3.000008148939081
106.8,3.000009050745986
106.9,3.000010043135283
107,3.000011136039024
107.1,3.000012340395217
107.2,3.000013668257292
107.3,3.000015132914735
107.4,3.000016749026071
107.5,3.000018532765577
107.6,3.000020501985138
107.7,3.000022676392902
107.8,3.000025077750508
107.9,3.000027730090859
108,3.000030659958625
